('San Francisco Caltrain 2 (330 Townsend)', Trip(trip_id=4133, duration=1965, start_date=datetime.datetime(2013, 8, 29, 10, 17), start_station_name='San Francisco Caltrain 2 (330 Townsend)', start_station_id=69, end_date=datetime.datetime(2013, 8, 29, 10, 50), end_station_name='Powell Street BART', end_station_id=39, bike_id=316, subscription_type='Customer', zip_code=''))
('5th at Howard', Trip(trip_id=4408, duration=385, start_date=datetime.datetime(2013, 8, 29, 12, 41), start_station_name='5th at Howard', start_station_id=57, end_date=datetime.datetime(2013, 8, 29, 12, 48), end_station_name='Powell at Post (Union Square)', end_station_id=71, bike_id=538, subscription_type='Customer', zip_code='37206'))
('Howard at 2nd', Trip(trip_id=4525, duration=650, start_date=datetime.datetime(2013, 8, 29, 13, 39), start_station_name='Howard at 2nd', start_station_id=63, end_date=datetime.datetime(2013, 8, 29, 13, 50), end_station_name='San Francisco Caltrain (Townsend at 4th)', end_station_id=70, bike_id=359, subscription_type='Subscriber', zip_code='94401'))
('California Ave Caltrain Station', Trip(trip_id=4375, duration=880, start_date=datetime.datetime(2013, 8, 29, 12, 26), start_station_name='California Ave Caltrain Station', start_station_id=36, end_date=datetime.datetime(2013, 8, 29, 12, 41), end_station_name='University and Emerson', end_station_id=35, bike_id=161, subscription_type='Subscriber', zip_code='94040'))
('Park at Olive', Trip(trip_id=5525, duration=422, start_date=datetime.datetime(2013, 8, 30, 12, 21), start_station_name='Park at Olive', start_station_id=38, end_date=datetime.datetime(2013, 8, 30, 12, 28), end_station_name='Park at Olive', end_station_id=38, bike_id=66, subscription_type='Customer', zip_code='94920'))
('San Jose Government Center', Trip(trip_id=140847, duration=413, start_date=datetime.datetime(2014, 1, 2, 17, 19), start_station_name='San Jose Government Center', start_station_id=80, end_date=datetime.datetime(2014, 1, 2, 17, 25), end_station_name='Japantown', end_station_id=9, bike_id=709, subscription_type='Subscriber', zip_code='95112'))
('Broadway St at Battery St', Trip(trip_id=161546, duration=289, start_date=datetime.datetime(2014, 1, 22, 9, 1), start_station_name='Broadway St at Battery St', start_station_id=82, end_date=datetime.datetime(2014, 1, 22, 9, 6), end_station_name='Market at Sansome', end_station_id=77, bike_id=374, subscription_type='Subscriber', zip_code='94597'))
('Mezes Park', Trip(trip_id=192527, duration=530, start_date=datetime.datetime(2014, 2, 22, 9, 59), start_station_name='Mezes Park', start_station_id=83, end_date=datetime.datetime(2014, 2, 22, 10, 8), end_station_name='Redwood City Medical Center', end_station_id=26, bike_id=237, subscription_type='Customer', zip_code='94063'))
('Washington at Kearny', Trip(trip_id=198785, duration=880, start_date=datetime.datetime(2014, 3, 1, 2, 51), start_station_name='Washington at Kearny', start_station_id=46, end_date=datetime.datetime(2014, 3, 1, 3, 5), end_station_name='Harry Bridges Plaza (Ferry Building)', end_station_id=50, bike_id=378, subscription_type='Customer', zip_code='94044'))
('South Van Ness at Market', Trip(trip_id=4074, duration=1131, start_date=datetime.datetime(2013, 8, 29, 9, 24), start_station_name='South Van Ness at Market', start_station_id=66, end_date=datetime.datetime(2013, 8, 29, 9, 43), end_station_name='San Francisco Caltrain 2 (330 Townsend)', end_station_id=69, bike_id=317, subscription_type='Subscriber', zip_code='94115'))
('Golden Gate at Polk', Trip(trip_id=4572, duration=4331, start_date=datetime.datetime(2013, 8, 29, 14, 7), start_station_name='Golden Gate at Polk', start_station_id=59, end_date=datetime.datetime(2013, 8, 29, 15, 20), end_station_name='Post at Kearney', end_station_id=47, bike_id=373, subscription_type='Customer', zip_code='94109'))
('Spear at Folsom', Trip(trip_id=4166, duration=7138, start_date=datetime.datetime(2013, 8, 29, 10, 49), start_station_name='Spear at Folsom', start_station_id=49, end_date=datetime.datetime(2013, 8, 29, 12, 48), end_station_name='Spear at Folsom', end_station_id=49, bike_id=558, subscription_type='Customer', zip_code='94105'))
('San Pedro Square', Trip(trip_id=4498, duration=126, start_date=datetime.datetime(2013, 8, 29, 13, 23), start_station_name='San Pedro Square', start_station_id=6, end_date=datetime.datetime(2013, 8, 29, 13, 25), end_station_name='Santa Clara at Almaden', end_station_id=4, bike_id=26, subscription_type='Subscriber', zip_code='95112'))
('2nd at South Park', Trip(trip_id=4069, duration=174, start_date=datetime.datetime(2013, 8, 29, 9, 8), start_station_name='2nd at South Park', start_station_id=64, end_date=datetime.datetime(2013, 8, 29, 9, 11), end_station_name='2nd at South Park', end_station_id=64, bike_id=288, subscription_type='Subscriber', zip_code='94114'))
('Post at Kearney', Trip(trip_id=4279, duration=1105, start_date=datetime.datetime(2013, 8, 29, 11, 53), start_station_name='Post at Kearney', start_station_id=47, end_date=datetime.datetime(2013, 8, 29, 12, 12), end_station_name='Post at Kearney', end_station_id=47, bike_id=602, subscription_type='Subscriber', zip_code='94114'))
('Powell Street BART', Trip(trip_id=4225, duration=21612, start_date=datetime.datetime(2013, 8, 29, 11, 18), start_station_name='Powell Street BART', start_station_id=39, end_date=datetime.datetime(2013, 8, 29, 17, 18), end_station_name='Market at 10th', end_station_id=67, bike_id=464, subscription_type='Customer', zip_code='58553'))
('Beale at Market', Trip(trip_id=4168, duration=161, start_date=datetime.datetime(2013, 8, 29, 10, 56), start_station_name='Beale at Market', start_station_id=56, end_date=datetime.datetime(2013, 8, 29, 10, 59), end_station_name='Steuart at Market', end_station_id=74, bike_id=414, subscription_type='Customer', zip_code='94117'))
('Japantown', Trip(trip_id=4310, duration=537, start_date=datetime.datetime(2013, 8, 29, 12, 5), start_station_name='Japantown', start_station_id=9, end_date=datetime.datetime(2013, 8, 29, 12, 14), end_station_name='Japantown', end_station_id=9, bike_id=638, subscription_type='Subscriber', zip_code='95112'))
('San Jose Civic Center', Trip(trip_id=4510, duration=166, start_date=datetime.datetime(2013, 8, 29, 13, 31), start_station_name='San Jose Civic Center', start_station_id=3, end_date=datetime.datetime(2013, 8, 29, 13, 34), end_station_name='San Salvador at 1st', end_station_id=8, bike_id=661, subscription_type='Subscriber', zip_code='95112'))
('Redwood City Medical Center', Trip(trip_id=4917, duration=169, start_date=datetime.datetime(2013, 8, 29, 18, 45), start_station_name='Redwood City Medical Center', start_station_id=26, end_date=datetime.datetime(2013, 8, 29, 18, 48), end_station_name='Broadway at Main', end_station_id=25, bike_id=229, subscription_type='Subscriber', zip_code='94041'))
('Market at 4th', Trip(trip_id=4134, duration=574, start_date=datetime.datetime(2013, 8, 29, 10, 19), start_station_name='Market at 4th', start_station_id=76, end_date=datetime.datetime(2013, 8, 29, 10, 29), end_station_name='2nd at South Park', end_station_id=64, bike_id=426, subscription_type='Customer', zip_code='94117'))
('2nd at Folsom', Trip(trip_id=4390, duration=825, start_date=datetime.datetime(2013, 8, 29, 12, 33), start_station_name='2nd at Folsom', start_station_id=62, end_date=datetime.datetime(2013, 8, 29, 12, 47), end_station_name='2nd at South Park', end_station_id=64, bike_id=331, subscription_type='Subscriber', zip_code='94518'))
('Yerba Buena Center of the Arts (3rd @ Howard)', Trip(trip_id=4355, duration=2044, start_date=datetime.datetime(2013, 8, 29, 12, 18), start_station_name='Yerba Buena Center of the Arts (3rd @ Howard)', start_station_id=68, end_date=datetime.datetime(2013, 8, 29, 12, 52), end_station_name='Yerba Buena Center of the Arts (3rd @ Howard)', end_station_id=68, bike_id=548, subscription_type='Customer', zip_code='94105'))
('Adobe on Almaden', Trip(trip_id=4419, duration=556, start_date=datetime.datetime(2013, 8, 29, 12, 45), start_station_name='Adobe on Almaden', start_station_id=5, end_date=datetime.datetime(2013, 8, 29, 12, 55), end_station_name='San Jose Civic Center', end_station_id=3, bike_id=671, subscription_type='Subscriber', zip_code='94536'))
('Powell at Post (Union Square)', Trip(trip_id=4431, duration=980, start_date=datetime.datetime(2013, 8, 29, 12, 54), start_station_name='Powell at Post (Union Square)', start_station_id=71, end_date=datetime.datetime(2013, 8, 29, 13, 10), end_station_name='Post at Kearney', end_station_id=47, bike_id=507, subscription_type='Subscriber', zip_code='94109'))
('Embarcadero at Vallejo', Trip(trip_id=4190, duration=18240, start_date=datetime.datetime(2013, 8, 29, 11, 4), start_station_name='Embarcadero at Vallejo', start_station_id=48, end_date=datetime.datetime(2013, 8, 29, 16, 8), end_station_name='Market at Sansome', end_station_id=77, bike_id=614, subscription_type='Customer', zip_code='72150'))
('Mechanics Plaza (Market at Battery)', Trip(trip_id=4125, duration=464, start_date=datetime.datetime(2013, 8, 29, 10, 14), start_station_name='Mechanics Plaza (Market at Battery)', start_station_id=75, end_date=datetime.datetime(2013, 8, 29, 10, 22), end_station_name='Powell at Post (Union Square)', end_station_id=71, bike_id=528, subscription_type='Subscriber', zip_code='94110'))
('Market at Sansome', Trip(trip_id=4320, duration=520, start_date=datetime.datetime(2013, 8, 29, 12, 10), start_station_name='Market at Sansome', start_station_id=77, end_date=datetime.datetime(2013, 8, 29, 12, 19), end_station_name='Harry Bridges Plaza (Ferry Building)', end_station_id=50, bike_id=616, subscription_type='Subscriber', zip_code='94109'))
('Townsend at 7th', Trip(trip_id=4315, duration=1432, start_date=datetime.datetime(2013, 8, 29, 12, 7), start_station_name='Townsend at 7th', start_station_id=65, end_date=datetime.datetime(2013, 8, 29, 12, 31), end_station_name='5th at Howard', end_station_id=57, bike_id=538, subscription_type='Customer', zip_code='37206'))
